Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4
113.0598518,34.84095702,1.3175,1050,1174,1368,993
113.0626851,34.84428628,1.27,1057,1207,1402,1001
113.0624887,34.84021977,1.2775,912,1015,1016,749
113.0630326,34.83984252,1.29,901,1015,1008,723
113.0613915,34.84223126,1.26,1042,1171,1366,992
113.062386,34.84062015,1.3525,985,1104,1233,950
113.0601518,34.84122065,1.3675,1021,1169,1349,1022
113.0582486,34.84033688,1.2625,1020,1193,1348,1086
113.0630084,34.83986201,1.2925,901,1015,1008,723
113.0636622,34.83964469,1.3,984,1111,1189,873
113.062658,34.84043428,1.3,973,1083,1128,833
113.0601738,34.84120305,1.37,1021,1169,1349,1022
113.0586645,34.83972686,1.305,1049,1169,1353,1036
113.0601899,34.84119399,1.345,1021,1169,1349,1022
113.0630382,34.83992112,1.315,901,1015,1008,723
113.0598649,34.84097612,1.2625,1044,1148,1346,1039
113.0627685,34.84002858,1.3225,918,1024,1027,740
113.0603113,34.84129425,1.285,1044,1194,1371,984
113.0635692,34.83975327,1.32,984,1111,1189,873
113.0664657,34.84404142,1.325,1039,1178,1357,1022
113.0621538,34.84051639,1.3075,979,1099,1215,973
113.0628749,34.83995914,1.3325,901,1015,1008,723
113.0629356,34.83991684,1.33,901,1015,1008,723
113.0628993,34.839942,1.335,901,1015,1008,723
113.0651521,34.84742192,1.3475,1213,1410,1707,1374
113.0601399,34.84123423,1.405,1021,1169,1349,1022
113.0602052,34.84118682,1.3875,1044,1194,1371,984
113.0594813,34.84035432,1.2475,1050,1182,1368,1002
113.062745,34.8442672,1.275,1052,1198,1384,977
113.062707,34.84006873,1.345,918,1024,1027,740
113.0621579,34.84051651,1.365,979,1099,1215,973
113.0586163,34.83979342,1.29,1049,1169,1353,1036
113.0598603,34.8409706,1.2825,1044,1148,1346,1039
113.0629259,34.84049426,1.3475,1012,1128,1304,985
113.0631399,34.84461454,1.3725,1069,1203,1402,1019
113.0624746,34.84073952,1.515,1012,1125,1294,1057
113.062194,34.84045383,1.323333333,884,1003,984,768
113.0635512,34.83977096,1.3625,984,1111,1189,873
113.0631373,34.84463699,1.3925,1069,1203,1402,1019
113.0625252,34.84019542,1.55,912,1015,1016,749
113.0715683,34.848395,1.345,1044,1211,1370,954
113.0630746,34.83997557,1.385,990,1115,1214,831
113.0628386,34.83998282,1.36,918,1024,1027,740
113.0624676,34.84062732,1.2975,985,1104,1233,950
113.062836,34.84090911,1.375,1000,1141,1325,1089
113.0623474,34.84373092,1.3725,1048,1230,1384,935
113.0603145,34.84128909,1.34,1044,1194,1371,984
113.0598598,34.84084992,1.37,1050,1174,1368,993
113.0621598,34.84051457,1.375,979,1099,1215,973
113.0614031,34.84222319,1.3625,1042,1171,1366,992
113.0627205,34.84038073,1.395,1012,1116,1219,880
113.0637359,34.83960415,1.4025,962,1082,1152,882
113.0591731,34.84053993,1.473333333,1043,1176,1356,1021
113.0594904,34.84034443,1.3375,1050,1182,1368,1002
113.0631994,34.8400315,1.375,990,1115,1214,831
113.0717884,34.8376901,1.41,1090,1242,1442,1604
113.0603183,34.84128287,1.4025,1044,1194,1371,984
113.0691922,34.84578695,1.3925,1033,1140,1331,1063
113.0635394,34.83978126,1.395,956,1082,1127,817
113.0631852,34.84472885,1.37,1057,1203,1424,1043
113.0623732,34.84376096,1.395,1054,1193,1369,963
113.067939,34.84489129,1.44,1039,1149,1343,1052
113.0679649,34.84488497,1.425,1039,1149,1343,1052
113.063383,34.83992182,1.435,1001,1136,1264,901
113.0618845,34.84350869,1.4175,1060,1222,1380,893
113.0631398,34.84466662,1.395,1057,1203,1424,1043
113.0619647,34.84337509,1.3975,1054,1239,1387,903
113.0656305,34.84779675,1.4225,1136,1288,1494,1080
113.0623613,34.84374427,1.3925,1048,1230,1384,935
113.0720571,34.85008896,1.4025,1047,1159,1371,1019
113.063224,34.8447402,1.425,1074,1190,1395,991
113.0632332,34.84474202,1.4125,1074,1190,1395,991
113.0631846,34.84004307,1.4275,990,1115,1214,831
113.0603169,34.8412853,1.39,1044,1194,1371,984
113.0749688,34.83821925,1.4125,1005,1150,1343,1054
113.0627875,34.84423939,1.4025,1052,1198,1384,977
113.0629532,34.84090272,1.42,1000,1141,1325,1089
113.0656282,34.84790534,1.4475,1141,1301,1530,1113
113.0717831,34.83767511,1.45,1090,1242,1442,1604
113.0624584,34.84062764,1.3425,985,1104,1233,950
113.0586452,34.83976844,1.395,1049,1169,1353,1036
113.0652421,34.84719305,1.3925,1108,1280,1462,1071
113.06308,34.83980086,1.4575,956,1078,1106,765
113.0627557,34.84077521,1.3,1012,1125,1320,1053
113.0627799,34.84424495,1.3875,1052,1198,1384,977
113.0623341,34.8437093,1.395,1048,1230,1384,935
113.0586506,34.83976241,1.4325,1049,1169,1353,1036
113.0623503,34.84387643,1.4675,1071,1210,1380,949
113.0598184,34.84080064,1.4575,1050,1207,1383,979
113.0620637,34.84302992,1.41,1044,1198,1360,997
113.0628594,34.840161,1.4475,985,1099,1132,805
113.0619774,34.8433625,1.45,1054,1239,1387,903
113.0628625,34.84085371,1.3475,1000,1141,1325,1089
113.0632598,34.84474706,1.4425,1074,1190,1395,991
113.0625618,34.84055572,1.47,985,1112,1240,955
113.0627952,34.84423363,1.43,1052,1198,1384,977
113.0629629,34.84006762,1.42,962,1086,1124,793
113.0689895,34.8460242,1.4725,1039,1149,1342,1063
113.0598221,34.84080374,1.445,1050,1174,1368,993
113.0634808,34.83987823,1.49,1001,1136,1264,901
113.0629166,34.84002045,1.46,962,1086,1124,793
113.0634028,34.83961531,1.585,884,998,972,737
113.0693647,34.84569265,1.73,1040,1141,1344,1082
113.0629364,34.84009133,1.45,962,1086,1124,793
113.062346,34.84387575,1.4825,1071,1210,1380,949
113.0630327,34.84018519,1.51,1001,1128,1218,845
113.063476,34.83989449,1.52,1001,1136,1264,901
113.0626742,34.84420206,1.5475,1057,1207,1402,1001
113.0601353,34.84120793,1.4475,1021,1169,1349,1022
113.0623391,34.84387393,1.48,1071,1210,1380,949
113.0598469,34.84081851,1.47,1050,1174,1368,993
113.0664224,34.84409209,1.515,1039,1178,1357,1022
113.0662832,34.84415646,1.4975,1033,1165,1360,1004
