Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,predicted_depth
113.0623454,34.84063765,1.415,1012,1150,1291,1057,2.594116666666666
113.0637575,34.8395848,1.336666667,962,1082,1152,882,1.6511249999999993
113.062446,34.84063437,1.2625,1012,1125,1294,1057,1.7134388888900003
113.0601267,34.84116556,1.25,1021,1169,1349,1022,1.4000666666666683
113.0619417,34.84339703,1.3,1054,1239,1387,903,1.4889083333333275
113.0739105,34.83843909,1.27,1016,1166,1332,1062,1.9631333333233352
113.0629585,34.83990035,1.3325,901,1015,1008,723,1.325108333333333
113.0629141,34.83993169,1.3475,901,1015,1008,723,1.3307833333333312
113.0621541,34.8405201,1.365,979,1099,1215,973,1.6248305555533376
113.0638031,34.84523275,1.35,1048,1202,1388,1010,3.2660777777766685
113.0634148,34.83900871,1.236666667,890,1022,950,1957,1.8772416666666683
113.0627231,34.84427611,1.28,1052,1198,1384,977,1.4204749999999948
113.061649,34.83918954,1.5225,957,1129,1212,1480,3.2113583333333415
113.0738616,34.83838699,1.3725,1016,1166,1332,1062,1.9583527777733352
113.0631399,34.84461454,1.3725,1069,1203,1402,1019,1.519599999999998
113.0636719,34.83963876,1.3375,984,1111,1189,873,1.338266666666672
113.0627452,34.84036303,1.3625,1012,1116,1219,880,1.299983333333328
113.0628725,34.84084175,1.3975,1000,1141,1325,1089,1.2065000000000021
113.0629973,34.8399502,1.395,901,1015,1008,723,1.3309694444433346
113.0584434,34.83999773,1.6825,1032,1164,1346,1059,1.5468833333333323
113.0629625,34.84427971,1.3575,1041,1169,1359,1001,3.929316666666667
113.0598583,34.84085366,1.39,1050,1174,1368,993,1.3927500000000033
113.0633576,34.83894578,1.435,867,959,885,1598,3.6401833333533387
113.0679452,34.84488786,1.46,1039,1149,1343,1052,1.5615749999999995
113.0670816,34.84445472,1.33,1044,1169,1357,994,3.1667888888899975
113.0624996,34.84069799,1.395,1012,1125,1294,1057,1.5528583333333297
113.0628019,34.84017944,1.3725,985,1099,1132,805,1.445588888889996
113.0598612,34.84084707,1.38,1050,1174,1368,993,1.3927500000000033
113.0695195,34.84547923,1.285,1040,1175,1358,998,2.2396500000000006
113.0621598,34.84051457,1.375,979,1099,1215,973,1.6194638888866708
113.0623763,34.84378436,1.3825,1054,1193,1369,963,2.0209333333333275
113.0656305,34.84780367,1.4025,1136,1288,1494,1080,1.460241666666672
113.0637072,34.83962125,1.4175,917,1011,1044,793,1.6353027777766669
113.0598627,34.84084337,1.395,1050,1174,1368,993,1.44769166666667
113.0693881,34.84567587,1.5225,1040,1141,1344,1082,2.0819333333333434
113.0623759,34.84377395,1.39,1054,1193,1369,963,2.0205999999999937
113.0621408,34.84053127,1.385,979,1099,1215,973,1.8124888888866708
113.0623752,34.8437683,1.3875,1054,1193,1369,963,2.0126249999999937
113.0623493,34.84373261,1.4075,1048,1230,1384,935,1.4977500000000001
113.063137,34.84464359,1.3925,1069,1203,1402,1019,1.556066666666664
113.0638133,34.84523127,1.395,1048,1202,1388,1010,3.2667861111100014
113.0602179,34.84118209,1.4275,1044,1194,1371,984,1.6965166666666638
113.0586292,34.83978278,1.3425,1049,1169,1353,1036,1.2890000000000033
113.0692162,34.84693643,1.3475,1049,1177,1373,992,2.114024999999998
113.0623761,34.84377639,1.39,1054,1193,1369,963,2.0205999999999937
113.0596318,34.84073974,1.3775,1044,1195,1368,1007,1.6255083333300027
113.062709,34.84034903,1.4275,1012,1116,1219,880,1.3369833333333287
113.0679604,34.84488513,1.4625,1039,1149,1343,1052,1.5264166666666685
113.0656226,34.84794309,1.4375,1141,1301,1530,1113,1.5299666666666711
113.0623361,34.84371413,1.3975,1048,1230,1384,935,1.5137166666666666
113.0714905,34.84844342,1.4175,1044,1211,1370,954,1.7001416666666755
113.0707205,34.83807354,1.4075,1013,1175,1331,1299,1.5397749999966606
113.0656301,34.84782611,1.415,1136,1288,1494,1080,1.469191666666672
113.0601392,34.841224,1.4375,1021,1169,1349,1022,1.222666666666662
113.0656297,34.84785874,1.4225,1141,1301,1530,1113,1.5191666666666723
113.0656294,34.84776617,1.425,1136,1288,1494,1080,1.460241666666672
113.0688605,34.84616578,1.405,1033,1174,1364,1030,1.9950944444433325
113.0689309,34.84609081,1.415,1039,1149,1342,1063,1.6288361111100085
113.0623706,34.84375583,1.4125,1054,1193,1369,963,1.9907083333333269
113.0621635,34.84048141,1.4625,979,1099,1215,973,1.70433888887667
113.0656298,34.84784359,1.4375,1141,1301,1530,1113,1.5191666666666723
113.0632753,34.83995309,1.4325,990,1136,1192,845,1.6504500000000024
113.0749688,34.83821925,1.4125,1005,1150,1343,1054,1.5135000000000043
113.0679357,34.8448957,1.5275,1039,1149,1343,1052,1.5867999999999982
113.0633937,34.83992121,1.44,1001,1136,1264,901,1.4920416666666665
113.0602244,34.84118017,1.455,1044,1194,1371,984,1.6965166666666638
113.0692386,34.84691969,1.3975,1049,1177,1373,992,2.1055916666666645
113.0623414,34.84372411,1.4025,1048,1230,1384,935,1.5127
113.0631563,34.84470391,1.41,1057,1203,1424,1043,1.5497916666666667
113.0623697,34.84384155,1.435,1071,1210,1380,949,1.5098833333333304
113.0598647,34.84083972,1.42,1050,1174,1368,993,1.4552583333333367
113.0621639,34.8404832,1.46,979,1099,1215,973,1.7243527777666698
113.0632553,34.83996982,1.4475,1001,1157,1272,891,1.900933333333334
113.0707337,34.83814444,1.64,1013,1154,1306,1015,1.9826250000000012
113.0625749,34.84056722,1.365,985,1112,1240,955,1.2868694444500002
113.072079,34.85021881,1.4125,1053,1188,1371,1029,1.6522583333433363
113.0623764,34.84380061,1.415,1054,1193,1369,963,2.0287416666666607
113.0623739,34.84382707,1.4425,1065,1197,1373,959,2.2904499999999968
113.0626737,34.84009225,1.435,918,1024,1027,740,1.3645833333333386
113.0749881,34.83817799,1.4925,1005,1150,1343,1054,1.5480583333333369
113.0627799,34.84424495,1.3875,1052,1198,1384,977,1.4562499999999965
113.0648394,34.84261135,1.5425,1017,1166,1336,1061,2.592141666666659
113.0598292,34.84080832,1.4525,1050,1174,1368,993,1.4455833333333332
113.0691807,34.8457958,1.4525,1033,1140,1331,1063,1.7848083333333327
113.0620693,34.84303911,1.4375,1044,1198,1360,997,1.2136611111133369
113.0718055,34.83778318,1.45,1090,1242,1442,1604,1.593605555553338
113.0623317,34.84387203,1.4825,1071,1210,1380,949,1.509991666666667
113.059863,34.84082242,1.4875,1050,1174,1368,993,1.4853916666666709
113.0725937,34.84880423,1.456666667,1055,1178,1371,1021,1.689811111113336
113.0631449,34.84468316,1.41,1057,1203,1424,1043,1.5552749999999982
113.0620657,34.84303239,1.415,1044,1198,1360,997,1.2136611111133369
113.0689155,34.84611249,1.435,1039,1149,1342,1063,1.6430527777766748
113.0695615,34.84538542,1.35,1040,1175,1358,998,2.234600000000001
113.0631367,34.8398439,1.475,956,1078,1106,765,1.556708333333331
113.0656247,34.84772363,1.485,1136,1288,1494,1080,1.5019250000000004
113.0600228,34.84103501,1.45,1044,1148,1346,1039,1.6217249999999992
113.0656361,34.84800292,1.4825,1141,1301,1530,1113,1.523058333333339
113.0749864,34.8381823,1.4925,1005,1150,1343,1054,1.5488750000000036
113.064306,34.84584833,1.4725,1080,1199,1442,1042,1.8030583333333345
113.0690678,34.84709914,1.4975,1049,1181,1380,983,2.1444277777766647
113.062061,34.84302552,1.4325,1044,1198,1360,997,1.2133916666700035
113.06,34.84102844,1.4525,1044,1148,1346,1039,1.6162249999999991
113.0717781,34.83765655,1.52,1090,1242,1442,1604,1.6134333333333402
113.0630327,34.84018519,1.51,1001,1128,1218,845,1.4949499999999982
113.0720054,34.85030608,1.625,1053,1188,1371,1029,1.7107583333399987
113.0693,34.84687214,1.495,1049,1177,1373,992,2.1088583333333313
113.0598469,34.84081851,1.47,1050,1174,1368,993,1.4497916666666726
113.0662832,34.84415646,1.4975,1033,1165,1360,1004,2.4113083333333245
113.0717793,34.83766193,1.4775,1090,1242,1442,1604,1.546625
113.073253,34.83773705,1.525,1029,1166,1363,1123,1.7613361111099985
113.0631422,34.83974628,1.5,917,998,975,714,1.6225361111099936
113.0631645,34.83972695,1.5275,917,998,975,714,1.6761999999999917
113.0685324,34.84643574,1.4875,1050,1165,1389,997,2.341644444443333
113.0717773,34.83765112,1.5275,1090,1242,1442,1604,1.6434916666666746
113.0623228,34.84367806,1.445,1048,1230,1384,935,1.556841666666666
113.0626255,34.8437371,1.3975,1043,1168,1358,1001,3.3101916666699935
113.0643095,34.84583292,1.49,1080,1199,1442,1042,1.8030583333333345
113.0634713,34.83990549,1.51,1001,1136,1264,901,1.5300583333333306
113.0628418,34.84011491,1.5025,918,1024,1027,740,1.3574333333333362
113.0634952,34.83983412,1.51,1001,1136,1264,901,1.5349833333333311
113.06285,34.84010158,1.5075,918,1024,1027,740,1.36249166666667
113.0603262,34.84126834,1.5375,1044,1194,1371,984,1.5344138888899939
113.0693793,34.8468002,1.5275,1043,1143,1359,1044,2.006575000000002
113.0725145,34.83775429,1.5725,1046,1196,1392,1277,1.846577777766668
113.0634985,34.83982765,1.55,1001,1136,1264,901,1.5493333333333361
113.0633647,34.83963542,1.625,934,1027,1059,765,1.673258333333331
113.0627318,34.84095997,1.4525,1000,1141,1325,1089,1.8242000000000014
113.0631548,34.84006566,1.52,990,1115,1214,831,1.4410916666666709
113.063167,34.83981766,1.5425,956,1078,1106,765,1.5430666666666637
113.0630428,34.84003235,1.5475,990,1115,1214,831,1.4993166666666735
113.0648733,34.8425917,1.9,1017,1166,1336,1061,2.5890916666666586
113.0680751,34.84492017,1.613333333,1028,1149,1347,1048,2.1971583333333373
113.0732535,34.83776351,1.53,1029,1166,1363,1123,1.7653111111099986
113.0680707,34.84491722,1.5675,1028,1149,1347,1048,2.202208333333337
113.058738,34.83964719,1.545,1044,1185,1353,1031,1.7256499999966655
113.0635003,34.83982451,1.5175,1001,1136,1264,901,1.5481500000000026
113.0630297,34.84004867,1.52,962,1086,1124,793,1.4527583333333336
113.0598225,34.84079044,1.49,1050,1207,1383,979,1.4852083333333332
113.0693393,34.8468389,1.5325,1049,1177,1373,992,2.109883333333331
113.0718099,34.83786382,1.5725,1001,1158,1327,1054,1.7844083333333336
113.0725185,34.8376996,1.5625,1046,1196,1392,1277,1.7802083333233356
113.0663629,34.84412509,1.555,1033,1173,1360,1013,2.7154249999999935
113.0631822,34.83971239,1.5675,917,998,975,714,1.6776499999999916
113.0690768,34.845914,1.54,1033,1140,1324,1086,1.749008333333339
113.0727632,34.8489638,1.72,1033,1182,1371,1031,1.2259250000000017
113.0631236,34.84009072,1.58,990,1115,1214,831,1.4510666666666698
113.067991,34.84488748,1.655,1039,1149,1343,1052,1.6202583333333322
113.0680022,34.84489031,1.6925,1039,1149,1343,1052,1.638016666666665
113.0697724,34.84639492,1.9725,1023,1141,1337,1082,1.792249999999998
113.0690509,34.84594875,1.5625,1022,1149,1328,1063,2.006425
113.0623768,34.84029202,1.575,912,1015,1016,749,1.5480444444433261
113.0634534,34.83903845,1.7,890,1022,950,1957,2.571441666666667
113.0627419,34.84090061,1.52,1000,1141,1325,1089,1.5998833333333355
113.066182,34.84420161,1.5875,1039,1165,1371,1036,2.8153750000000013
113.0601559,34.84107989,1.5775,1039,1182,1361,1002,1.5320083333333352
113.0632876,34.83971718,1.6225,934,1027,1059,765,1.6078666666666617
113.0701972,34.83815966,1.66,1113,1318,1504,1420,1.6889500000000062
113.0587426,34.83964406,1.5725,1044,1185,1353,1031,1.734477777773332
113.0661739,34.84842251,1.5975,1105,1272,1471,1006,1.883766666666665
113.0602472,34.84117665,1.585,1044,1194,1371,984,1.6973333333333305
113.0600868,34.84105314,1.5825,1039,1182,1361,1002,1.5754416666666675
113.0632666,34.83977011,1.6575,934,1027,1059,765,1.5055333333333332
113.0634808,34.83954903,1.6,884,998,972,737,1.6941999999999935
113.0633303,34.83975326,1.5625,934,1027,1059,765,1.502283333333333
113.0649709,34.83930429,1.6075,1032,1158,1336,1136,2.5229055555533293
113.0738774,34.838266,1.625,1005,1158,1325,1025,1.8772833333333374
113.0680135,34.84489378,1.6725,1039,1149,1343,1052,1.618341666666665
113.0602169,34.84111641,1.61,1056,1199,1368,979,1.8564583333333302
