Longitude,Latitude,Band_1,Band_2,Band_3,Band_4
113.08407038751874,34.863990501467434,1262,1541,2108,2683
113.08423730811325,34.863990501467434,1201,1503,2018,2618
113.08440422870775,34.863990501467434,1129,1395,1960,2613
113.08457114930226,34.863990501467434,1335,1600,2224,2944
113.08473806989677,34.863990501467434,1335,1600,2224,2944
113.08490499049128,34.863990501467434,1518,1834,2465,3125
113.08507191108579,34.863990501467434,1546,1918,2588,3279
113.04885014207723,34.863823580872925,1477,1822,2309,2898
113.04901706267174,34.863823580872925,1450,1751,2215,2935
113.04918398326625,34.863823580872925,1394,1726,2208,3014
113.04935090386076,34.863823580872925,1401,1757,2255,3014
113.04951782445526,34.863823580872925,1251,1527,1847,2944
113.04968474504977,34.863823580872925,1307,1590,1923,2893
113.04985166564428,34.863823580872925,1251,1519,1815,2776
113.05001858623879,34.863823580872925,1190,1443,1703,2665
113.0501855068333,34.863823580872925,1190,1443,1703,2665
113.05035242742781,34.863823580872925,1135,1405,1616,2720
113.05051934802232,34.863823580872925,1285,1548,1894,2693
113.05068626861683,34.863823580872925,1424,1732,2208,2706
113.05085318921134,34.863823580872925,1496,1828,2356,2744
113.05102010980585,34.863823580872925,1496,1828,2356,2744
113.05118703040036,34.863823580872925,1479,1799,2333,2810
113.05135395099487,34.863823580872925,1351,1644,2211,2796
113.05152087158937,34.863823580872925,1329,1615,2185,2763
113.05168779218388,34.863823580872925,1329,1615,2185,2763
113.0518547127784,34.863823580872925,1340,1606,2117,2717
113.0520216333729,34.863823580872925,1368,1598,2012,2689
113.05218855396741,34.863823580872925,1251,1548,1919,2545
113.05235547456192,34.863823580872925,1251,1548,1919,2545
113.05252239515643,34.863823580872925,1190,1367,1644,2252
113.05268931575094,34.863823580872925,1201,1334,1554,2298
113.05285623634545,34.863823580872925,1360,1563,1908,2610
113.05302315693996,34.863823580872925,1371,1684,2110,2656
113.05319007753447,34.863823580872925,1376,1680,2139,2605
113.05335699812898,34.863823580872925,1326,1592,2100,2531
113.05352391872349,34.863823580872925,1237,1462,1991,2480
113.053690839318,34.863823580872925,1143,1357,1876,2521
113.0538577599125,34.863823580872925,1143,1357,1876,2521
113.05402468050701,34.863823580872925,1129,1367,1838,2427
113.05419160110152,34.863823580872925,1095,1313,1744,2534
113.05435852169603,34.863823580872925,1146,1376,1766,2678
113.05452544229054,34.863823580872925,1204,1461,1849,2808
113.05469236288505,34.863823580872925,1204,1461,1849,2808
113.05485928347957,34.863823580872925,1198,1470,1874,2822
113.05502620407408,34.863823580872925,1248,1520,1892,3022
113.05519312466859,34.863823580872925,1281,1604,1965,3083
113.0553600452631,34.863823580872925,1281,1604,1965,3083
113.05552696585761,34.863823580872925,1293,1620,2022,3073
113.05569388645212,34.863823580872925,1309,1662,2094,3041
113.05586080704663,34.863823580872925,1326,1645,2055,3031
113.05602772764114,34.863823580872925,1359,1658,2138,2985
113.05619464823565,34.863823580872925,1359,1658,2138,2985
113.05636156883016,34.863823580872925,1393,1705,2215,2927
113.05652848942466,34.863823580872925,1360,1688,2226,2857
113.05669541001917,34.863823580872925,1321,1613,2153,2769
113.05686233061368,34.863823580872925,1321,1613,2153,2769
113.05702925120819,34.863823580872925,1327,1613,2143,2755
