Longitude,Latitude,depth,stumpf,log-linear,random_forest,random_forest_depth
113.0602694,34.84132501,0.93,3.040774731828506,2.982772447168045,1.5906542857142858,0.7752083333333314
113.0584417,34.84015965,0.8975,3.0957962937989407,2.9822438015976287,1.2586210714285722,1.0382416666666672
113.0748827,34.83837424,0.8875,3.090046223776924,2.9833482751444818,2.625544166665002,1.0982750000000039
113.0591881,34.84047926,0.91,3.0814590770184367,2.981037002667164,3.348495426587303,1.7525833333199958
113.0628311,34.84057986,0.89,3.141205008422886,2.983362616591136,1.1254685714285722,1.0912166666666647
113.0582978,34.84026945,0.9475,3.131679413812748,2.983809025850444,1.2842601984126991,1.033541666666664
113.0634373,34.83900122,0.945,3.002436937370448,2.984397488127683,2.459757857142858,2.2174750000000034
113.063304,34.84067969,0.9675,3.0969114298351883,2.9836977736695527,2.035056488095237,1.183491666666671
113.0627177,34.84407064,0.9875,3.1490404560241103,2.98152802673782,2.637429502164504,2.338402777776667
113.062897,34.8405331,1.0375,3.1524975014607577,2.983511421917008,1.2118558333333334,1.1417833333333354
113.0612331,34.84256661,0.9675,3.0383478951830227,2.979360280973978,2.0166661011904776,1.768233333323333
113.062846,34.84066636,0.9025,3.165428118884151,2.984504772437113,1.2135433333333323,1.0852472222233347
113.0628424,34.84075688,0.96,3.165428118884151,2.984504772437113,1.2135433333333323,1.1022416666666697
113.0584097,34.8395738,0.9775,3.0720973296461267,2.981950971514145,1.43060967261905,1.730841666666668
113.0628319,34.8407767,0.9625,3.165428118884151,2.984504772437113,1.2135433333333323,1.1274416666666705
113.0633008,34.84068308,0.99,3.0969114298351883,2.9836977736695527,2.035056488095237,1.1772666666666707
113.0612343,34.8425609,0.975,3.0383478951830227,2.979360280973978,2.0166661011904776,1.768233333323333
113.0629219,34.84078407,0.995,3.046234144625757,2.9825843459668806,3.2093121879666016,1.7242083333333358
113.0584124,34.8395605,0.9875,3.0720973296461267,2.981950971514145,1.43060967261905,1.83015
113.0626223,34.84068668,0.955,3.077607791923356,2.9834410338241213,1.4025579166666642,1.863852777776664
113.0629949,34.84072811,0.9775,3.046234144625757,2.9825843459668806,3.2093121879666016,1.6966583333333356
113.0584213,34.83950618,1.005,3.0720973296461267,2.981950971514145,1.43060967261905,1.6613499999999972
113.0583999,34.8398054,1.0,3.0868040688373526,2.9814817925028376,1.2727753678959923,1.0608166666666619
113.0626708,34.84066446,0.996666667,3.077607791923356,2.9834410338241213,1.4025579166666642,1.8433611111099972
113.0582687,34.84042008,0.95,2.9198858382140287,2.9803873593234007,1.2663139880952383,1.6649944444399962
113.0698765,34.84636242,0.9375,3.1497342117002205,2.983750833492582,1.6980838095238084,1.1269861111099966
113.0717256,34.84830206,1.0,3.222701079930289,2.982162007231247,2.319408655743985,2.008699999999999
113.0633652,34.84077687,0.995,3.0969114298351883,2.9836977736695527,2.035056488095237,1.165925000000004
113.061252,34.84253191,0.9975,3.0383478951830227,2.979360280973978,2.0166661011904776,1.7822999999900002
113.0612362,34.84255505,0.98,3.0383478951830227,2.979360280973978,2.0166661011904776,1.768233333323333
113.0671466,34.84443704,1.0175,3.1314494178382546,2.9815950911096465,2.2238506867549224,3.166413888889998
113.0635047,34.83904227,1.106666667,3.002436937370448,2.984397488127683,2.459757857142858,3.0180249999999957
113.0633181,34.84066544,1.045,3.0969114298351883,2.9836977736695527,2.035056488095237,1.1965250000000047
113.0633317,34.84065708,1.055,3.0969114298351883,2.9836977736695527,2.035056488095237,1.2120166666666714
113.0584035,34.83981967,1.015,3.0868040688373526,2.9814817925028376,1.2727753678959923,1.0503999999999956
113.062899,34.84081277,1.1075,3.038627720045554,2.983571425110729,1.7505327976190472,1.271391666666669
113.0584661,34.84011677,0.9875,3.0957962937989407,2.982127272942761,1.5806783450577206,1.3329249999999977
113.0584248,34.83947958,1.0425,3.0720973296461267,2.981950971514145,1.43060967261905,1.83720833333333
113.062892,34.84053626,1.0175,3.1524975014607577,2.983511421917008,1.2118558333333334,1.1306916666666682
113.0584846,34.84006355,1.025,3.0957962937989407,2.982127272942761,1.5806783450577206,1.3858333333333306
113.0584867,34.83988728,1.03,3.0868040688373526,2.9814817925028376,1.2727753678959923,1.3022166666666632
113.0628102,34.8405723,1.035,3.141205008422886,2.983362616591136,1.1254685714285722,1.0882499999999968
113.0584156,34.83984884,1.045,3.0868040688373526,2.9814817925028376,1.2727753678959923,1.0538749999999966
113.0633225,34.84055372,1.0425,3.0630599416763147,2.9828822490167064,1.0544845833333338,1.5020666666666693
