Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4
113.0634559,34.84205032,3.8775,1028,1132,1347,1071
113.0657711,34.84702426,3.6425,1056,1184,1377,1009
113.0681007,34.84807902,3.82,1059,1184,1364,1028
113.0676659,34.84824763,4.025,1056,1180,1367,988
113.0706293,34.84915935,2.9125,1043,1181,1376,990
113.0730254,34.84884847,0.995,1033,1182,1371,1031
113.0666383,34.84693993,4.2675,1037,1155,1357,1036
113.0645325,34.84370325,4.13,1022,1132,1349,1063
113.0617492,34.83782636,3.43,802,865,794,736
113.063804,34.83929933,4.54,956,1068,1116,1061
113.0676634,34.8470919,3.09,1041,1195,1362,1033
113.0644961,34.8442544,4.745,1032,1155,1355,1030
113.0646438,34.84374282,4.5075,1017,1140,1349,1072
113.0674465,34.84630013,2.925,1048,1167,1365,1026
113.0634373,34.83900122,0.945,890,1022,950,1957
113.059986,34.84036165,3.1975,1039,1161,1361,1021
113.0691687,34.84880524,2.475,1059,1176,1371,1028
113.0601221,34.83903072,6.0475,1028,1136,1343,1221
113.0631852,34.84472885,1.37,1057,1203,1424,1043
113.0656082,34.84737478,2.24,1069,1226,1393,1034
113.063878,34.84473624,3.9,1049,1172,1380,983
113.0585252,34.8398311,1.04,1049,1148,1356,1031
113.0585863,34.83976969,1.0925,1049,1169,1353,1036
113.0616216,34.83789677,3.22,824,878,794,722
113.0637986,34.83940905,2.505,956,1068,1116,1061
113.0712134,34.85035666,2.5675,1047,1138,1353,1066
113.0692144,34.84769448,2.4525,1053,1176,1379,1010
113.0647224,34.84477133,3.9525,1038,1181,1362,993
113.0659771,34.8444493,3.3725,1039,1169,1371,1036
113.073849,34.83777174,1.895,1046,1145,1348,1090
113.0596648,34.83906045,7.0825,1050,1157,1354,1091
113.0587646,34.83962559,1.6875,1044,1160,1338,1050
113.0597696,34.83875474,9.055,1089,1224,1498,1466
113.0613133,34.84239031,1.765,1059,1179,1369,1025
113.0701592,34.83866844,3.04,1026,1149,1328,1211
113.0608928,34.8399242,7.6325,1022,1148,1365,1198
113.0600245,34.84021317,3.5325,1000,1136,1350,1039
113.0706307,34.85118077,2.8425,1035,1145,1347,1072
113.0721731,34.8494634,2.425,1055,1186,1378,1003
113.0652214,34.84415608,5.2525,1032,1151,1340,1067
113.0699574,34.84843537,1.9475,1049,1169,1385,977
113.0637682,34.84409748,4.365,1054,1197,1380,951
113.0632424,34.84284109,3.865,1016,1144,1342,1048
113.0642835,34.84314325,3.7725,1005,1136,1342,1077
113.0693358,34.85004096,3.585,1051,1177,1356,1077
113.0653835,34.84327575,2.255,1044,1165,1365,1028
113.0707139,34.83804189,1.2625,1013,1175,1331,1299
113.061602,34.83786856,3.3625,824,878,794,722
113.0727664,34.8486061,0.72,1044,1165,1360,1026
113.0638776,34.83931083,5.1275,956,1068,1116,1061
113.0637506,34.83937066,2.335,956,1068,1116,1061
113.0629219,34.84078407,0.995,1012,1153,1325,1073
113.0609912,34.83989217,6.0425,1022,1148,1365,1198
113.062304,34.83761301,3.485,852,979,931,1697
113.0679823,34.8466947,2.6275,1044,1161,1367,1030
113.0649305,34.84391105,3.555,1043,1155,1348,1053
113.0648079,34.84434195,3.925,1015,1151,1351,1039
113.0607713,34.84144332,3.125,1049,1198,1378,980
113.062892,34.84224284,4.865,1033,1140,1346,1053
