经度,纬度,水深
113.0601296,34.8413022,-0.4875
113.06045,34.84154737,-0.49
113.0604155,34.84152042,-0.49
113.0604214,34.84158419,-0.505
113.0601699,34.8413411,-0.48
113.0639658,34.84012175,-0.505
113.0603446,34.84156279,-0.48
113.0604025,34.84152719,-0.4875
113.0604293,34.84156039,-0.4875
113.0604271,34.84156215,-0.4875
113.0603911,34.84153307,-0.4875
113.0603759,34.84154173,-0.48
113.0604215,34.84151742,-0.495
113.0604196,34.84157032,-0.4975
113.0604183,34.84157605,-0.495
113.0604415,34.84155271,-0.5
113.0604238,34.8415655,-0.5
113.0640829,34.84000591,-0.51
113.0604202,34.84158189,-0.5075
113.0604321,34.84155826,-0.505
113.0604277,34.84151427,-0.5075
113.0641508,34.83992897,-0.5475
113.0640755,34.84001414,-0.5325
113.0603986,34.84152924,-0.485
113.060418,34.84157414,-0.5
113.060513,34.84147733,-0.5
113.0604184,34.84157872,-0.5025
113.0604208,34.84158322,-0.5025
113.0604212,34.84156757,-0.5025
113.063972,34.84011667,-0.52
113.0604224,34.84158506,-0.5
113.0639761,34.84011329,-0.52
113.0604552,34.84154401,-0.515
113.0641548,34.83992484,-0.53
113.0604838,34.84150123,-0.53
113.0604791,34.84145567,-0.525
113.0604184,34.84157757,-0.5125
113.0604374,34.841555,-0.505
113.0640866,34.84000181,-0.5125
113.0604195,34.84158085,-0.5125
113.0604779,34.84146578,-0.52
113.0604779,34.84146823,-0.5275
113.060449,34.84150358,-0.5325
113.0604339,34.84151106,-0.53
113.06044,34.84150794,-0.53
113.0605089,34.84148196,-0.5225
113.0604704,34.84149066,-0.5375
113.0604188,34.84157202,-0.5075
113.0604784,34.84147239,-0.525
113.0604763,34.84151434,-0.5425
113.0604806,34.84145007,-0.54
113.0604766,34.84148556,-0.5475
113.0640902,34.83999769,-0.5175
113.0604445,34.84150569,-0.525
113.0601326,34.84129319,-0.53
113.0601308,34.84129846,-0.5375
113.060469,34.84153371,-0.54
113.0604829,34.84144527,-0.54
113.0604789,34.84147651,-0.5325
113.0604754,34.84152163,-0.54
113.0604536,34.84150159,-0.5425
113.060458,34.84149954,-0.5425
113.0604659,34.8415362,-0.5525
113.0604619,34.84149692,-0.54
113.0640731,34.84001689,-0.546666667
113.0641468,34.83993309,-0.57
113.0639595,34.84012685,-0.505
113.060479,34.84148135,-0.53
113.0604669,34.84149335,-0.5425
113.0641011,34.83998541,-0.5375
113.0641589,34.83992061,-0.5425
113.0604622,34.84153871,-0.5375
113.0604813,34.84150446,-0.545
113.0604784,34.84148324,-0.545
113.0641631,34.83991638,-0.555
113.0604742,34.84148773,-0.55
113.0640695,34.84002099,-0.57
113.0640975,34.83998951,-0.5475
113.0640582,34.84003413,-0.59
113.0639841,34.84010663,-0.5525
113.0604783,34.8414609,-0.54
113.0604598,34.84154044,-0.5425
113.0601336,34.84128909,-0.5425
113.0604718,34.84153051,-0.55
113.0604765,34.84151234,-0.5525
113.0604757,34.84152285,-0.5675
113.0604797,34.8415069,-0.555
113.060502,34.84148785,-0.5525
113.0604957,34.84149256,-0.5625
113.0604778,34.84151008,-0.5675
113.0604873,34.84143871,-0.5575
113.0604761,34.84151642,-0.565
113.0640647,34.84002642,-0.5725
113.0604754,34.84151956,-0.57
113.0641261,34.83995594,-0.5775
113.0640559,34.84003777,-0.58
113.0640938,34.83999361,-0.55
113.0640612,34.84003039,-0.5875
113.0641687,34.83991075,-0.575
113.0604736,34.84152876,-0.5675
113.0641308,34.83995052,-0.575
113.0601728,34.84134126,-0.51
113.0641344,34.83994652,-0.585
113.0641093,34.83997602,-0.5725
113.0641228,34.83995993,-0.5925
113.060518,34.84147328,-0.565
113.0641058,34.83998005,-0.5575
113.0604893,34.84149677,-0.5675
113.0620544,34.84314026,-0.57
113.060476,34.84152626,-0.575
113.064138,34.83994248,-0.5825
113.0605361,34.84146349,-0.5775
113.063988,34.84010343,-0.5975
113.0640534,34.84004181,-0.6
113.064051,34.84004441,-0.61
113.0601338,34.84128501,-0.58
113.0601334,34.84127955,-0.5825
113.064143,34.83993713,-0.59
113.0601327,34.84127572,-0.5925
113.0641782,34.83990109,-0.595
113.0639957,34.84009718,-0.61
113.0641173,34.83996663,-0.5925
113.0641206,34.83996262,-0.605
113.0640449,34.84005115,-0.63
113.0639256,34.84015413,-0.6325
113.0641741,34.83990519,-0.585
113.0597731,34.84087439,-0.61
113.0641863,34.83989283,-0.605
113.0638807,34.84018827,-0.6575
113.0639512,34.84013352,-0.5925
113.0641809,34.8398983,-0.5975
113.0597714,34.84087765,-0.6
113.0620645,34.84313862,-0.605
113.0597784,34.84086412,-0.61
113.0597767,34.84086759,-0.61
113.0584127,34.84045348,-0.625
113.0640493,34.84004622,-0.6225
113.0641921,34.83988732,-0.6125
113.0601755,34.84134144,-0.5475
113.0584133,34.84043882,-0.63
113.0640138,34.84008205,-0.6425
113.0641128,34.83997197,-0.59
113.0639387,34.8401437,-0.62
113.0639322,34.84014888,-0.6125
113.0584114,34.8404476,-0.6375
113.0584144,34.84041989,-0.635
113.0584139,34.84041736,-0.6325
113.058414,34.84043693,-0.635
113.0584122,34.8404507,-0.6325
113.0584116,34.84044683,-0.635
113.0584158,34.84043119,-0.635
113.058415,34.8404232,-0.635
113.0584096,34.8404443,-0.6425
