Longitude,Latitude,Elevation,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_10,Band_11,Band_12
104.273643493652,30.2992153167725,13.23,-5.54450871,-5.547446185,-5.548690746,-5.454707674,-5.214959152,-5.036264299,-4.958845323,-5.642357882,2.85616918696072,3.46231226906936,0.82493113416614
104.27416229248,30.2993087768555,17.51,-5.738757545,-5.401637927,-5.768710648,-5.755764335,-5.542120559,-5.080934198,-5.473306231,-6.076348412,2.96097323610221,3.38355860179161,0.875106237123944
104.274063110352,30.2993087768555,17.45,-5.54662144,-5.365831064,-5.591088407,-5.559145862,-5.541428227,-5.080511123,-5.40994348,-6.022103093,2.9873570191417,3.44626620316097,0.866838730102058
104.273643493652,30.2993068695068,14.76,-5.543630039,-5.398116349,-5.588042198,-5.454707674,-5.165495144,-5.036587334,-5.058577938,-5.642449061,2.96355701331711,3.44740501133162,0.859648635299856
104.273643493652,30.2993965148926,14.7,-5.542752318,-5.297991945,-5.718264711,-5.422399478,-5.16502309,-5.036587334,-5.123525767,-6.316612325,3.03801572626066,3.40063837770802,0.893366300332187
104.274063110352,30.2993984222412,17.5,-5.545740912,-5.300029134,-5.591088407,-5.631196972,-5.409479659,-5.080003324,-5.410391134,-6.022103093,3.03648185162696,3.44626620316097,0.881093239066051
104.27416229248,30.2993984222412,18.24,-5.737688493,-5.365831064,-5.768710648,-5.846277772,-5.409358306,-5.080426185,-5.573542147,-6.075654788,2.9873570191417,3.38355860179161,0.882903880417463
104.273849487305,30.2993965148926,17.21,-5.544155613,-5.433082693,-5.673056203,-5.631196972,-5.538389956,-4.900714381,-5.123525767,-6.022103093,2.93801022058489,3.41643267968648,0.859964324206882
104.273643493652,30.2993965148926,14.04,-5.542752318,-5.297991945,-5.718264711,-5.422399478,-5.16502309,-5.036587334,-5.123525767,-6.316612325,3.03801572626066,3.40063837770802,0.893366300332187
104.274375915527,30.2994003295898,19.14,-5.739616824,-5.402064314,-5.723828283,-5.755592991,-5.734890945,-5.221237089,-5.325244436,-6.075654788,2.96066056103419,3.39872666871271,0.871108756196497
104.274375915527,30.2994003295898,19.16,-5.739616824,-5.402064314,-5.723828283,-5.755592991,-5.734890945,-5.221237089,-5.325244436,-6.075654788,2.96066056103419,3.39872666871271,0.871108756196497
104.273643493652,30.2993965148926,13.45,-5.542752318,-5.297991945,-5.718264711,-5.422399478,-5.16502309,-5.036587334,-5.123525767,-6.316612325,3.03801572626066,3.40063837770802,0.893366300332187
104.273750305176,30.2994861602783,17.28,-5.542579363,-5.398116349,-5.673056203,-5.592320227,-5.538389956,-4.955708093,-5.295338803,-6.317317491,2.96355701331711,3.41643267968648,0.867441946372282
104.273849487305,30.299488067627,18.06,-5.54327743,-5.505816822,-5.58789364,-5.709510392,-5.538389956,-4.955708093,-5.321856049,-6.316431857,2.88565134161766,3.44746060473841,0.83703678517789
104.274269104004,30.2994899749756,18.91,-5.737688493,-5.400794985,-5.770173196,-5.755592991,-5.440335728,-5.080341179,-5.504087761,-6.075654788,2.96159148135176,3.3830718941526,0.875414881507738
104.274475097656,30.2994918823242,19.28,-5.739397846,-5.402064314,-5.590023846,-5.714482201,-5.692854472,-5.103823564,-5.325244436,-6.024200663,2.96066056103419,3.44666393639441,0.858993106282178
104.273536682129,30.2994861602783,9.39,-5.417497241,-5.396151637,-5.765069252,-5.554329769,-5.164455778,-6.134570009,-5.293941055,-5.751907271,2.9649995726222,3.38477245181294,0.875981949993152
104.273750305176,30.2994861602783,16.82,-5.542579363,-5.398116349,-5.673056203,-5.592320227,-5.538389956,-4.955708093,-5.295338803,-6.317317491,2.96355701331711,3.41643267968648,0.867441946372282
104.274368286133,30.2994899749756,19.45,-5.738546709,-5.435273151,-5.770173196,-5.755592991,-5.541562973,-5.080763433,-5.381447781,-6.024200663,2.93641788220807,3.3830718941526,0.867973833864857
104.273536682129,30.2996654510498,9.09,-5.24279684,-5.429158566,-5.866629667,-5.552214154,-6.138387213,-5.121427213,-5.293941055,-5.509261569,2.9408652184827,3.35200999208031,0.877343810260408
104.27416229248,30.2996692657471,19.07,-5.734487889,-5.507545691,-5.871477537,-5.392775236,-5.440835217,-4.900782781,-5.683634893,-6.387857405,2.88441983761296,3.35050209543305,0.860891817242738
104.274368286133,30.2997608184814,22.58,-5.735335577,-5.770032278,-5.673888072,-5.709676478,-5.574999578,-4.995905284,-5.809553954,-5.835262482,2.70480612865079,3.41613784875077,0.791773121696449
104.273956298828,30.2997589111328,18.7,-5.243576234,-5.361900643,-5.545491491,-5.993062365,-5.407544247,-5.057314737,-5.408146342,-5.968527969,2.99026818474942,3.46354026824314,0.863355974858123
104.27416229248,30.2997608184814,19.69,-5.733415547,-5.467659657,-6.046230672,-5.390979184,-5.538663859,-4.900431067,-5.683634893,-6.38690818,2.91298642869286,3.2994318599748,0.882875159214565
104.273956298828,30.2997589111328,18.85,-5.243576234,-5.361900643,-5.545491491,-5.993062365,-5.407544247,-5.057314737,-5.408146342,-5.968527969,2.99026818474942,3.46354026824314,0.863355974858123
104.274055480957,30.2997589111328,19.02,-5.244224149,-5.361900643,-5.717231421,-5.890337729,-5.439711342,-5.057314737,-5.408146342,-6.248933585,2.99026818474942,3.40099419743011,0.879233545005446
104.273742675781,30.2997570037842,16.62,-5.242536796,-5.328907514,-5.864420533,-5.706706347,-5.469088931,-4.955336656,-5.720532953,-5.968527969,3.01482171629016,3.35269879953979,0.899222356838017
104.273849487305,30.2997589111328,17.81,-5.243056336,-5.361900643,-5.545491491,-5.993062365,-5.468446061,-4.955336656,-5.501374743,-5.968655041,2.99026818474942,3.46354026824314,0.863355974858123
104.273643493652,30.2998466491699,14.09,-5.241375701,-5.429158566,-5.864420533,-5.625714114,-5.534945339,-5.120986346,-5.533175142,-5.57138878,2.9408652184827,3.35269879953979,0.87716356115449
104.273536682129,30.2999362945557,10.55,-5.240857033,-5.501442179,-6.105408482,-5.745770127,-5.288874428,-5.120986346,-5.09845579,-5.508870863,2.88877020949002,3.28353912428953,0.879773348251202
104.273643493652,30.2998466491699,12.74,-5.241375701,-5.429158566,-5.864420533,-5.625714114,-5.534945339,-5.120986346,-5.533175142,-5.57138878,2.9408652184827,3.35269879953979,0.87716356115449
104.273536682129,30.30002785,9.7,-5.413640737,-5.622659867,-6.036390589,-5.882234246,-5.288981775,-5.214627889,-5.120259703,-5.57138878,2.80382237479248,3.30214160790983,0.849092106794059
104.27530670166,30.2991352081299,20.56,-5.601969075,-5.374992585,-5.482917207,-5.859077828,-6.16140444,-5.22622147,-5.512144783,-6.140193471,2.98058284716263,3.48804777103439,0.854513195580098
104.274787902832,30.2991313934326,25.13,-5.598988466,-5.639745345,-5.638557321,-5.528548262,-5.618827299,-5.224264656,-5.543916677,-6.259882351,2.79209932410247,3.42879968884258,0.814308089559168
104.275001525879,30.2991333007812,26.12,-5.599551201,-5.373478381,-5.445183442,-5.601464643,-5.659200288,-5.021271305,-5.511648299,-6.198327556,2.98170135664989,3.50327943183935,0.851117193093669
104.27530670166,30.2991352081299,20.12,-5.601969075,-5.374992585,-5.482917207,-5.859077828,-6.16140444,-5.22622147,-5.512144783,-6.140193471,2.98058284716263,3.48804777103439,0.854513195580098
104.275100708008,30.2991333007812,25.42,-5.600297703,-5.373478381,-5.444527403,-5.810465713,-5.879174529,-5.021271305,-5.511025758,-6.197383314,2.98170135664989,3.50354728459696,0.851052123588765
104.275100708008,30.2991333007812,24.77,-5.600297703,-5.373478381,-5.444527403,-5.810465713,-5.879174529,-5.021271305,-5.511025758,-6.197383314,2.98170135664989,3.50354728459696,0.851052123588765
104.27458190918,30.2991313934326,20.29,-5.744552527,-5.596213982,-5.638557321,-5.718312619,-5.782822376,-5.274541068,-5.509039119,-6.196451852,2.82209140192763,3.42879968884258,0.823055196578208
