Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_10
104.269111633301,30.3077621459961,26.07,-5.317545867,-5.550324895,-5.451854919,-5.601791893,-5.245924417,-5.130120848,-5.228643698,-6.087057651,2.85414374965007
104.258781433105,30.3123970031738,21.67,-5.155878651,-5.29937994,-5.749580732,-5.399201108,-4.957028955,-4.62443518,-4.954044676,-5.414788423,3.0369705694755
104.268020629883,30.3144340515137,26.29,-5.113043438,-5.319081484,-5.440455236,-5.21971451,-5.260691356,-4.845253965,-5.148398226,-5.596281227,3.02217413647054
104.263122558594,30.3160305023193,26.25,-5.149155793,-5.206034419,-5.261410887,-5.042214979,-4.793708343,-4.707730276,-5.091549266,-5.46941613,3.10804520590419
104.267700195312,30.3154258728027,26.83,-4.94707759,-5.03186121,-5.462537077,-4.985670892,-4.958277603,-4.652889437,-4.991255159,-5.655765443,3.24473100612528
104.268562316895,30.3115501403809,16.21,-5.145271538,-5.573928719,-5.933372723,-5.328457977,-5.406091798,-4.93614659,-5.354918737,-5.727596376,2.83760169030511
104.266960144043,30.317497253418,24.23,-4.902847467,-4.819703996,-5.1853515,-5.029573675,-4.851525614,-4.614322369,-4.815283401,-5.537108149,3.41775254071196
104.262077331543,30.3161163330078,21.98,-5.056887517,-5.09158153,-5.48140281,-5.147390164,-4.968647898,-4.719256312,-4.908032585,-5.493552577,3.1972903162769
104.258575439453,30.3119449615479,25.1,-5.158085245,-5.243902178,-5.57990308,-5.235227923,-4.97969705,-4.682014274,-4.829699322,-5.417150343,3.07902163894765
104.27131652832,30.3047065734863,19.23,-5.655257991,-5.448343609,-6.493049411,-6.210620029,-5.750671218,-5.089541365,-5.457175102,-5.970439768,2.92693623837663
104.259605407715,30.3136653900146,22.26,-5.119459707,-5.711770935,-5.419387709,-5.362577086,-5.144424499,-4.869002949,-4.930462909,-5.468197268,2.74337748739797
104.26708984375,30.3137073516846,16.63,-4.933871476,-4.995389174,-5.441239248,-5.123544456,-4.854794267,-4.828237295,-5.149311375,-5.41379508,3.2739864833391
104.274879455566,30.300666809082,18.97,-5.538909421,-5.582417375,-5.864431688,-5.938292691,-5.570994779,-5.144278088,-5.603372166,-6.069420035,2.83168129745325
104.267608642578,30.3139820098877,26.88,-5.172703336,-5.118314065,-5.341154357,-5.274888261,-5.162711205,-4.936646335,-5.150091526,-5.666096932,3.17624533284777
104.268798828125,30.3082122802734,16.95,-5.243330002,-5.429492785,-6.125208087,-5.557219645,-5.34920342,-5.059154374,-5.249776309,-6.076502931,2.94062193869909
104.259910583496,30.3141174316406,24.77,-5.337433817,-5.26176657,-5.689620421,-5.484529766,-5.120051874,-4.735923894,-4.928591935,-5.591059202,3.06541925049689
104.274887084961,30.3004856109619,18.97,-5.679964303,-5.627985505,-5.812668502,-5.79358558,-5.571565107,-5.217239071,-5.60528669,-6.126813932,2.80016149392948
104.267196655273,30.3138885498047,15.92,-5.170458549,-4.99439122,-5.338271814,-5.100074247,-5.184386927,-4.828631933,-5.14853087,-5.665131461,3.27478993246735
104.268745422363,30.3153419494629,17.24,-5.02839046,-5.016763157,-5.399925123,-5.168450688,-5.025539444,-4.64208804,-4.977302467,-5.439133259,3.25681604980628
104.260681152344,30.3086185455322,11.24,-4.986803285,-5.097614453,-5.117786785,-5.018382807,-4.842135255,-4.285605942,-4.639674168,-4.871688751,3.1925305001413
104.268768310547,30.3116416931152,17.37,-5.14582263,-5.535673254,-5.932722651,-5.484575992,-5.18696701,-4.936477045,-5.381873237,-5.892403276,2.86447048083193
104.266883850098,30.3137054443359,14.03,-4.932551033,-4.928177013,-5.339527634,-5.194935193,-4.946650923,-4.879772369,-5.060202911,-5.440905807,3.32844319435023
104.262184143066,30.3161163330078,22.22,-4.910859879,-5.091269234,-5.48140281,-5.123931769,-4.89348648,-4.660474493,-4.926717646,-5.463775868,3.19753687455124
104.267433166504,30.3233642578125,9.03,-4.756314555,-5.014527007,-5.018555037,-4.825281685,-4.568082782,-4.155257313,-4.373771661,-4.838341172,3.25860903764255
104.271728515625,30.3051605224609,16.16,-5.517678699,-5.647661501,-6.394687334,-6.139439017,-5.938720841,-5.282764938,-5.39428206,-5.877070101,2.78668907742319
104.262916564941,30.3158493041992,26.33,-5.149515836,-5.098239156,-5.203969627,-5.25596832,-4.934862363,-4.70868907,-5.007754547,-5.439790489,3.19203797259613
104.269638061523,30.3064117431641,18.41,-5.533220505,-5.497424985,-6.182670996,-5.702627323,-5.764042783,-5.320073726,-5.721611721,-6.104625161,2.89163768400406
104.261924743652,30.3087158203125,13.32,-5.248348136,-5.240648844,-5.421297227,-5.429636412,-5.103450915,-4.636823634,-4.793086053,-5.57402356,3.08150503479971
104.274360656738,30.3009338378906,18.37,-5.576753435,-5.620916612,-5.708281765,-5.698987989,-5.639441722,-5.263070493,-5.635396496,-6.240204175,2.80502202298645
104.264472961426,30.3161296844482,24.44,-5.100583354,-5.056167713,-5.464242789,-5.236333839,-5.040356257,-4.823320232,-4.993466935,-5.192534049,3.22535216037313
104.260330200195,30.3133983612061,22.48,-5.099667306,-5.029620409,-5.618596991,-5.314365029,-4.957950799,-4.742220788,-4.86258775,-5.414777123,3.24652232277159
104.263847351074,30.3165760040283,21.69,-4.939116,-4.935474636,-5.288691338,-5.153494849,-4.952530108,-4.722962653,-4.94850392,-5.439122966,3.32249707592853
104.269607543945,30.3107433319092,19.83,-5.510308349,-5.189884554,-5.614273454,-5.766525514,-5.039167023,-5.36392339,-5.310734561,-5.740204884,3.12050078665128
104.269111633301,30.3073120117188,21.95,-5.434744287,-5.482019149,-5.532353237,-5.725941196,-5.330418965,-5.255318553,-5.628103844,-5.764415053,2.90266486268695
104.26921081543,30.3083953857422,21.26,-5.182197059,-5.15432718,-5.683775306,-5.670773073,-5.142621237,-5.148432377,-5.415633301,-6.026068527,3.14808530799063
104.264839172363,30.3088226318359,10.49,-5.146318745,-5.121797587,-5.553266475,-5.302337503,-4.968740465,-4.703316855,-4.941304483,-5.11939687,3.17351179998601
104.270683288574,30.3061466217041,14.56,-5.588515005,-6.367959956,-6.124599324,-6.057383331,-5.691454204,-5.327714153,-5.688354312,-6.05847391,2.3552361823991
104.269096374512,30.3101100921631,24.28,-5.359415816,-5.34168584,-5.704434076,-5.468938448,-5.306833074,-5.207635936,-5.629571239,-6.006501504,3.00528749744397
